Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
200	345	0	2.92105103	293.201955	293.202613	293.201955	293.203288	0.00119806866	6.97139535e-005	5.8	0.0133928	0	0	3
201	347	0	2.93565628	293.201921	293.202574	293.201921	293.20325	0.00121052335	6.96972032e-005	5.7	0.0133662	0	0	3
202	349	0	2.95026154	293.201887	293.202535	293.201887	293.203212	0.00122206456	6.96857128e-005	5.7	0.0133544	0	0	3
203	350	0	2.96486679	293.201853	293.202496	293.201853	293.203173	0.00123269395	6.96789735e-005	5.6	0.0133356	0	0	3
204	352	0	2.97947205	293.20182	293.202458	293.20182	293.203134	0.00124241611	6.96764102e-005	5.6	0.0132156	0	0	3
205	354	0	2.9940773	293.201788	293.202419	293.201788	293.203095	0.00125123646	6.96775291e-005	5.5	0.0132946	0	0	3
206	356	0	3.00868256	293.201757	293.202381	293.201757	293.203055	0.00125914332	6.9681899e-005	5.5	0.0133711	0	0	3
207	357	0	3.02328781	293.201726	293.202343	293.201726	293.203015	0.00126612218	6.96890937e-005	5.5	0.0133456	0	0	3
208	359	0	3.03789307	293.201696	293.202305	293.201696	293.202975	0.00127217661	6.969878e-005	5.4	0.0133127	0	0	3
209	361	0	3.05249832	293.201666	293.202268	293.201666	293.202934	0.00126840638	6.9710535e-005	5.4	0.013285	0	0	3
210	362	0	3.06710358	293.201637	293.202231	293.201637	293.202894	0.00125718449	6.9723896e-005	5.5	0.0131707	0	0	3
211	364	0	3.08170883	293.201608	293.202194	293.201608	293.202853	0.00124514469	6.97384562e-005	5.6	0.0132643	0	0	3
212	366	0	3.09631409	293.201581	293.202158	293.201581	293.202813	0.00123201125	6.97538739e-005	5.6	0.0133161	0	0	3
213	367	0	3.11091934	293.201554	293.202122	293.201554	293.202772	0.00121808279	6.97698275e-005	5.7	0.0133226	0	0	3
214	369	0	3.1255246	293.201527	293.202086	293.201527	293.202731	0.00120385372	6.97860645e-005	5.7	0.0133233	0	0	3
215	371	0	3.14012985	293.201501	293.202051	293.201501	293.20269	0.00118909817	6.98022565e-005	5.8	0.0133084	0	0	3
216	372	0	3.15473511	293.201476	293.202016	293.201476	293.202649	0.00117386841	6.98180553e-005	5.9	0.0131929	0	0	3
217	374	0	3.16934036	293.201451	293.201982	293.201451	293.202609	0.00115806821	6.9833164e-005	6	0.0132623	0	0	3
218	376	0	3.18394562	293.201427	293.201948	293.201427	293.202568	0.00114152799	6.98473315e-005	6.1	0.0133479	0	0	3
219	378	0	3.19855088	293.201403	293.201915	293.201403	293.202527	0.00112438266	6.98603223e-005	6.2	0.0133372	0	0	3
220	379	0	3.21315613	293.20138	293.201882	293.20138	293.202487	0.00110711799	6.98719713e-005	6.3	0.0133209	0	0	3
221	381	0	3.22776139	293.201357	293.20185	293.201357	293.202447	0.00108959733	6.98820453e-005	6.4	0.0132953	0	0	3
